type,context,contains_logging
g,cgmfdmmnmndsjpds,0
f,cgmfdmmnmndsjpds,0
d,cgmfdm,0
d,cgmfdmmnmnds,0
j,cgmfdmmnmndsjp,0
d,cgmfdmmnmndsjpds,0
l,cgmfdmmnmndsjpdslndn,0
d,cgmfdmmnmndsjpdslndn,0
c,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjunmmdmnjmnun,0
g,cgdmjmmn,0
d,cgdm,0
j,cgdmjm,0
k,cgdmjmmnkduniunjun,0
d,cgdmjmmnkdun,0
i,cgdmjmmnkduniun,0
j,cgdmjmmnkduniunjun,0
j,cgdmjmmnkduniunjunjn,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmm,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddun,0
i,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmm,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndm,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnm,0
g,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmn,0
k,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjun,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdun,0
j,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjun,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjunmm,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmm,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmm,0
g,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmn,0
k,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjun,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdun,0
j,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjun,0
d,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjunmmdmn,0
j,cgdmjmmnkduniunjunjnmnmmmnnnnnnnddunimndmmndnmmnnmgmnkdunjunnmmmdmdmdnnmmnmmgmnkdunjunmmdmnjmn,0
c,cmmnnnnqn,0
c,cmnmnmnduninmninmnqnnnnnimnmnjmnnnqn,0
d,cmnmnmndun,0
i,cmnmnmnduninmn,0
i,cmnmnmnduninmninmnqnnnnn,0
i,cmnmnmnduninmninmnqnnnnnimnmn,0
j,cmnmnmnduninmninmnqnnnnnimnmnjmnnn,0
c,cdnmndunmnq,0
d,cdnmndunmn,0
d,cdnmndun,0
c,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmndmmnq,0
d,cmdnmmnnmndmmn,0
d,cmdnmmnnmndmmn,0
j,cmdnmmnnmndmmnjm,0
d,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmndmmn,0
d,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmndmmn,0
d,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmndmmn,0
d,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmn,0
d,cmdnmmnnmndmmnjmdmmnmnmndnmndmndmndmmn,0
c,cmnqn,0
c,cn,0
c,cqnn,0
c,cmbmmnncdqnnmdnnjmnmnedtnqnbcdnmndmnmfnnmnnjnnmnmnnnmnncdundnunqnnnnnnmcgmkmgqnkxgmndnqkxunnmnnnmnnnnnnnnnmnnncdnunqncgmndunqkxuncqnnnnncdunddnmnmmnnjmnjmndnungnmnenkunqnncdunqnnnnnnnnnnnnmnncqncdundmnnqnmnnmdundnnqqnnnmnncdundnnqqncgmndunqkxuncqnnnnnmnnnnnmnnmnmnmmq,0
b,cmbmmnncdqnnmdnnjmnmnedtnqn,0
c,cdqnnmdnnjmnmnedtnqn,0
d,cdqnn,0
d,cdqnnmdnn,0
j,cdqnnmdnnjmnmnedtn,0
e,cdqnnmdnnjmnmnedtn,0
d,cdqnnmdnnjmnmnedt,0
b,cmbmmnncdqnnmdnnjmnmnedtnqnbcdnmndmnmfnnmnnjnn,0
c,cdnmndmnmfnnmnnjnn,0
d,cdnmndmnmfnnmnn,0
d,cdnmndmn,0
f,cdnmndmnmfnnm,0
j,cdnmndmnmfnnmnnjnn,0
c,cdundnunq,0
d,cdun,0
d,cdundnun,0
c,cgmkmgqnkxgmndnqkxun,0
g,cgm,0
k,cgmkm,0
g,cgmkmgqn,0
k,cgmkmgqnkx,0
g,cgmkmgqnkxgmndnq,0
d,cgmkmgqnkxgmndnq,0
k,cgmkmgqnkxgmndnqkx,0
c,cdnunq,0
d,cdnun,0
c,cgmndunqkxun,0
g,cgmndunq,0
d,cgmndun,0
k,cgmndunqkx,0
c,cqn,0
c,cdunddnmnmmnnjmnjmndnungnmnenkunqn,0
d,cdun,0
d,cdunddnmnmmnnjmn,0
d,cdunddnmnmmnn,0
j,cdunddnmnmmnnjmn,0
j,cdunddnmnmmnnjmnjmn,0
d,cdunddnmnmmnnjmnjmndnun,0
g,cdunddnmnmmnnjmnjmndnungnmnen,0
e,cdunddnmnmmnnjmnjmndnungnmnen,0
k,cdunddnmnmmnnjmnjmndnungnmnenkun,0
c,cdunqnn,0
d,cdun,0
c,cqn,0
c,cdundmnnqnmnnmdundnnqqnn,0
d,cdun,0
d,cdundmnnqn,0
d,cdundmnnqnmnnmdun,0
d,cdundmnnqnmnnmdundnnq,0
c,cdundnnqq,0
d,cdun,0
d,cdundnnq,0
c,cgmndunqkxun,0
g,cgmndunq,0
d,cgmndun,0
k,cgmndunqkx,0
c,cqn,0
c,cdqnnmdnnjmnmnedtnqn,0
d,cdqnn,0
d,cdqnnmdnn,0
j,cdqnnmdnnjmnmnedtn,0
e,cdqnnmdnnjmnmnedtn,0
d,cdqnnmdnnjmnmnedt,0
c,cdnmndmnmfnnmnnjnn,0
d,cdnmndmnmfnnmnn,0
d,cdnmndmn,0
f,cdnmndmnmfnnm,0
j,cdnmndmnmfnnmnnjnn,0
c,cdundnunq,0
d,cdun,0
d,cdundnun,0
c,cgmkmgqnkxgmndnqkxun,0
g,cgm,0
k,cgmkm,0
g,cgmkmgqn,0
k,cgmkmgqnkx,0
g,cgmkmgqnkxgmndnq,0
d,cgmkmgqnkxgmndnq,0
k,cgmkmgqnkxgmndnqkx,0
c,cdnunq,0
d,cdnun,0
c,cgmndunqkxun,0
g,cgmndunq,0
d,cgmndun,0
k,cgmndunqkx,0
c,cqn,0
c,cdunddnmnmmnnjmnjmndnungnmnenkunqn,0
d,cdun,0
d,cdunddnmnmmnnjmn,0
d,cdunddnmnmmnn,0
j,cdunddnmnmmnnjmn,0
j,cdunddnmnmmnnjmnjmn,0
d,cdunddnmnmmnnjmnjmndnun,0
g,cdunddnmnmmnnjmnjmndnungnmnen,0
e,cdunddnmnmmnnjmnjmndnungnmnen,0
k,cdunddnmnmmnnjmnjmndnungnmnenkun,0
c,cdunqnn,0
d,cdun,0
c,cqn,0
c,cdundmnnqnmnnmdundnnqqnn,0
d,cdun,0
d,cdundmnnqn,0
d,cdundmnnqnmnnmdun,0
d,cdundmnnqnmnnmdundnnq,0
c,cdundnnqq,0
d,cdun,0
d,cdundnnq,0
c,cgmndunqkxun,0
g,cgmndunq,0
d,cgmndun,0
k,cgmndunqkx,0
c,cqn,0
c,chnmnnmnnqn,0
h,chnmnn,0
c,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndmq,0
h,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndm,0
e,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndm,0
d,cmnmnmnmnmnnhnendmn,0
e,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndm,0
d,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndm,0
d,cmnmnmnmnmnnhnendmnmnednmnndt,0
g,cmnmnmnmnmnnhnendmnmnednmnndtgmnnn,0
k,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkn,0
d,cmnmnmnmnmnnhnendmnmnednmnndtgmnnnkndm,0
c,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninnjmdmmqnqnq,0
e,cymnmemmnmndmdnmdn,0
d,cymnmemmnmndm,0
d,cymnmemmnmndmdnmdn,0
d,cymnmemmnmndmdnmd,0
d,cymnmemmnmndmdnmdndn,0
d,cymnmemmnmndmdnmdndndmdn,0
d,cymnmemmnmndmdnmdndndmdn,0
d,cymnmemmnmndmdnmdndndmdndmdn,0
d,cymnmemmnmndmdnmdndndmdndmdn,0
d,cymnmemmnmndmdnmdndndmdndmdndnm,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnn,0
e,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnn,0
e,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninnjmdmmqnqn,0
e,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninnjm,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninn,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnn,0
i,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninn,0
j,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninnjm,0
d,cymnmemmnmndmdnmdndndmdndmdndnmdndndndndenndnndndenndnndndmmnmnnnmmnmmendndnninnjmdmmqn,0
c,cmdndgvkndnndmmnmnmnjmn,0
d,cmdn,0
d,cmdndgvkn,0
g,cmdndgv,0
k,cmdndgvkn,0
d,cmdndgvkndn,0
d,cmdndgvkndnndmmnmnmn,0
j,cmdndgvkndnndmmnmnmnjmn,0
c,cdmimdnmdnmdmjmq,0
d,cdm,0
i,cdmim,0
d,cdmimdnm,0
d,cdmimdnmdnm,0
d,cdmimdnmdnmdm,0
j,cdmimdnmdnmdmjm,0
c,cdnnngvnkn,0
d,cdnnn,0
g,cdnnngvn,0
k,cdnnngvnkn,0
c,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndnmnnmnnnnnmnnnnnmnnnmnnmnnmnnndvmnndnnnjm,0
d,cdvv,0
j,cdvvjvw,0
d,cdvvjvwnmmnnnmmnmnmndnmnn,0
d,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnn,0
j,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjn,0
d,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnm,0
g,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnn,0
k,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkm,0
e,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndn,0
d,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndn,0
d,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndnmnnmnnnnnmnnnnnmnnnmnnmnnmnnndvmnndnnn,0
d,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndnmnnmnnnnnmnnnnnmnnnmnnmnnmnnndvmnndnnn,0
j,cdvvjvwnmmnnnmmnmnmndnmnnmnmnmnmnnnnnmnnmnnnmnmnnmmnnnndnnjnmmnnnmndnmnmnnmmnnnnnngmnnnnnkmnnmmnmmemnndnmnnmnnnnnmnnnnnmnnnmnnmnnmnnndvmnndnnnjm,0
c,cmnmnnnhnedmnndmnndmnjmen,0
h,cmnmnnnhnedmnndmnn,0
e,cmnmnnnhnedmnndmnn,0
d,cmnmnnnhnedmnn,0
d,cmnmnnnhnedmnndmnn,0
d,cmnmnnnhnedmnndmnndmn,0
j,cmnmnnnhnedmnndmnndmnjm,0
e,cmnmnnnhnedmnndmnndmnjmen,0
c,cwmnmmnhmnnnnn,0
h,cwmnmmnhmnnn,0
c,cmhdmydnndn,0
h,cmhdmy,0
d,cmhdmy,0
d,cmhdmydnn,0
d,cmhdmydnndn,0
c,cmhdnnqdmndn,0
h,cmhdnnqdmn,0
d,cmhdnnq,0
d,cmhdnnqdmn,0
d,cmhdnnqdmndn,0
c,cmdmmdnidnnjninininnyn,0
d,cmdmmdnidnnjninininny,0
d,cmdmmdn,0
i,cmdmmdnidnnjn,0
d,cmdmmdnidnn,0
j,cmdmmdnidnnjn,0
i,cmdmmdnidnnjnin,0
i,cmdmmdnidnnjninin,0
i,cmdmmdnidnnjninininn,0
c,cnmnmnnnemmnn,0
e,cnmnmnnnemmnn,0
c,cmdnnqn,0
d,cmdnnq,0
c,cdnjghmnnenkxdgnkxgnkxgnkxnn,0
d,cdn,0
j,cdnjghmnnenkxdgnkxgnkxgnkxnn,0
g,cdnjghmnnen,0
h,cdnjghmnn,0
e,cdnjghmnnen,0
k,cdnjghmnnenkx,0
d,cdnjghmnnenkxdgnkx,0
g,cdnjghmnnenkxdgn,0
k,cdnjghmnnenkxdgnkx,0
g,cdnjghmnnenkxdgnkxgn,0
k,cdnjghmnnenkxdgnkxgnkx,0
g,cdnjghmnnenkxdgnkxgnkxgn,0
k,cdnjghmnnenkxdgnkxgnkxgnkx,0
c,cdvjwn,0
d,cdv,0
j,cdvjw,0
c,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnndnnqndmnnnnnennndn,0
d,cmndn,0
d,cmndnmndnqn,0
g,cmndnmndnqngmnn,0
k,cmndnmndnqngmnnkqn,0
d,cmndnmndnqngmnnkqndm,0
j,cmndnmndnqngmnnkqndmjm,0
d,cmndnmndnqngmnnkqndmjmmnnndn,0
g,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnn,0
k,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnn,0
d,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnndnnq,0
d,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnndnnqndmnnnn,0
e,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnndnnqndmnnnnnenn,0
d,cmndnmndnqngmnnkqndmjmmnnndnngmmmnnnknqnndnnqndmnnnnnennndn,0
c,cedqq,0
e,cedq,0
d,cedq,0
c,cnnnennnndn,0
e,cnnnenn,0
d,cnnnennnndn,0
c,cmnmgmnknqmgmhnnmnmnnenmnnmkmnmmmnnn,0
g,cmnmgmn,0
k,cmnmgmnknq,0
g,cmnmgmnknqmgmhnnmnmnnenmnnm,0
h,cmnmgmnknqmgmhnnmn,0
e,cmnmgmnknqmgmhnnmnmnnenmnn,0
k,cmnmgmnknqmgmhnnmnmnnenmnnmkmnmmmnn,0
c,cmdnnqmdnnq,0
d,cmdnnq,0
d,cmdnnqmdnn,0
c,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnnegnknknn,0
d,cwmndnmndqnnq,0
d,cwmndnmndq,0
d,cwmndnmndqnnqdv,0
j,cwmndnmndqnnqdvjv,0
e,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnn,0
d,cwmndnmndqnnqdvjvnmemndt,0
e,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnnegnknknn,0
g,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnnegn,0
k,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnnegnkn,0
k,cwmndnmndqnnqdvjvnmemndtnmmnnnnnnnegnknknn,0
c,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnnmnnngnknnmdmnndmndndmmjmmmdmjmmndmdnjnnvmcmndghnenmndsjmkmqmmngnkndgnk,1
d,cmndngwkn,0
g,cmndngw,0
k,cmndngwkn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnq,0
d,cmndngwknddnmddmmnmnnnnnn,0
d,cmndngwknddnmddmmn,0
d,cmndngwknddnmddm,0
j,cmndngwknddnmddmmnmnnnnnnjn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnn,0
j,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmn,0
e,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtedn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedt,0
e,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtedn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtedn,0
b,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcx,0
c,cx,0
i,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnq,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnq,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnq,1
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxq,0
g,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgn,0
k,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkx,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnm,0
j,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnn,1
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkm,0
g,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdv,0
j,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjv,0
k,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkm,1
k,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkm,1
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnnmnnngnknn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnn,0
g,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnnmnnngn,0
k,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnnmnnngnkn,0
d,cmndngwknddnmddmmnmnnnnnnjndnmnnnnnjnqmndndmedtednmbcxmninnnwnndnqdmnqnndmnqdgnkxqddnmjmnnmdgdvjvmnkmkmdndnmnnmnnngnknnmdmnn,0
